# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4888790	4890436	+							KPN_RS24045	1647		old_locus_tag=KPN_04466
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4888790	4890436	+	WP_002885082.1	WP_002885082.1		Na+/H+ antiporter			KPN_RS24045	1647	548	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4890599	4891480	-							KPN_RS24050	882		old_locus_tag=KPN_04467
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4890599	4891480	-	WP_002885085.1	WP_002885085.1		LysR family transcriptional regulator			KPN_RS24050	882	293	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4891586	4891993	+							KPN_RS24055	408		old_locus_tag=KPN_04468
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4891586	4891993	+	WP_002885086.1	WP_002885086.1		CidA/LrgA family protein			KPN_RS24055	408	135	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4891990	4892679	+							KPN_RS24060	690		old_locus_tag=KPN_04469
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4891990	4892679	+	WP_002885088.1	WP_002885088.1		LrgB family protein			KPN_RS24060	690	229	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4893190	4893747	+							KPN_RS24070	558		old_locus_tag=KPN_04471
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4893190	4893747	+	WP_004192602.1	WP_004192602.1		fimbrial protein			KPN_RS24070	558	185	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4893808	4894497	+							KPN_RS24075	690		old_locus_tag=KPN_04472
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4893808	4894497	+	WP_004210006.1	WP_004210006.1		fimbrial assembly chaperone			KPN_RS24075	690	229	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4894451	4897030	+							KPN_RS24080	2580		old_locus_tag=KPN_04473
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4894451	4897030	+	WP_019725412.1	WP_019725412.1		fimbria/pilus outer membrane usher protein			KPN_RS24080	2580	859	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4897066	4897614	+							KPN_RS24085	549		old_locus_tag=KPN_04474
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4897066	4897614	+	WP_004151734.1	WP_004151734.1		fimbrial protein			KPN_RS24085	549	182	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4897634	4898731	+							KPN_RS24090	1098		old_locus_tag=KPN_04475
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4897634	4898731	+	WP_041937697.1	WP_041937697.1		type 1 fimbrial protein			KPN_RS24090	1098	365	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4898779	4900431	-					actP		KPN_RS24095	1653		old_locus_tag=KPN_04476
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4898779	4900431	-	WP_024623073.1	WP_024623073.1		cation/acetate symporter ActP	actP		KPN_RS24095	1653	550	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4900431	4900742	-							KPN_RS24100	312		old_locus_tag=KPN_04477
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4900431	4900742	-	WP_004177812.1	WP_004177812.1		DUF485 domain-containing protein			KPN_RS24100	312	103	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4900926	4902884	-					acs		KPN_RS24110	1959		old_locus_tag=KPN_04478
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4900926	4902884	-	WP_002885145.1	WP_002885145.1		acetate--CoA ligase	acs		KPN_RS24110	1959	652	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4902985	4903185	+							KPN_RS24115	201		old_locus_tag=KPN_04479
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4902985	4903185	+	WP_004226113.1	WP_004226113.1		hypothetical protein			KPN_RS24115	201	66	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4903297	4904610	+					gltP		KPN_RS24120	1314		old_locus_tag=KPN_04480
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4903297	4904610	+	WP_004146659.1	WP_004146659.1		glutamate/aspartate:proton symporter GltP	gltP		KPN_RS24120	1314	437	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4904647	4905333	-							KPN_RS24125	687		old_locus_tag=KPN_04481
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4904647	4905333	-	WP_004151733.1	WP_004151733.1		tetratricopeptide repeat protein			KPN_RS24125	687	228	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4905563	4907710	-					fdhF		KPN_RS24130	2148		old_locus_tag=KPN_04482
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4905563	4907710	-	WP_077598928.1	WP_077598928.1		formate dehydrogenase subunit alpha	fdhF		KPN_RS24130	2148	715	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4907983	4908711	+							KPN_RS24145	729		old_locus_tag=KPN_04483
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4907983	4908711	+	WP_002885152.1	WP_002885152.1		response regulator transcription factor			KPN_RS24145	729	242	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4908797	4909555	+							KPN_RS24150	759		old_locus_tag=KPN_04484
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4908797	4909555	+	WP_004177809.1	WP_004177809.1		type IV toxin-antitoxin system AbiEi family antitoxin			KPN_RS24150	759	252	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4909603	4910478	+							KPN_RS24155	876		old_locus_tag=KPN_04485
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4909603	4910478	+	WP_015959269.1	WP_015959269.1		nucleotidyl transferase AbiEii/AbiGii toxin family protein			KPN_RS24155	876	291	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4910603	4911610	-							KPN_RS24160	1008		old_locus_tag=KPN_04486
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4910603	4911610	-	WP_015959270.1	WP_015959270.1		carbohydrate kinase family protein			KPN_RS24160	1008	335	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4911685	4912626	-							KPN_RS24165	942		old_locus_tag=KPN_04487
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4911685	4912626	-	WP_002885156.1	WP_002885156.1		ABC transporter substrate-binding protein			KPN_RS24165	942	313	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4912657	4913655	-							KPN_RS24170	999		old_locus_tag=KPN_04488
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4912657	4913655	-	WP_002885172.1	WP_002885172.1		ABC transporter permease subunit			KPN_RS24170	999	332	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4913652	4915172	-							KPN_RS24175	1521		old_locus_tag=KPN_04489
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4913652	4915172	-	WP_002885173.1	WP_002885173.1		sugar ABC transporter ATP-binding protein			KPN_RS24175	1521	506	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4915352	4917637	+							KPN_RS24180	2286		old_locus_tag=KPN_04490
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4915352	4917637	+	WP_004151730.1	WP_004151730.1		ATP-binding protein			KPN_RS24180	2286	761	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4917708	4918061	+					yjdP		KPN_RS24185	354		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4917708	4918061	+	WP_004151729.1	WP_004151729.1		DDRRRQL repeat protein YjdP	yjdP		KPN_RS24185	354	117	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4918083	4918841	-					phnP		KPN_RS24190	759		old_locus_tag=KPN_04491
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4918083	4918841	-	WP_004178303.1	WP_004178303.1		phosphonate metabolism protein PhnP	phnP		KPN_RS24190	759	252	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4918857	4919420	-					phnN		KPN_RS24195	564		old_locus_tag=KPN_04492
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4918857	4919420	-	WP_015959271.1	WP_015959271.1		ribose 1,5-bisphosphokinase	phnN		KPN_RS24195	564	187	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4919420	4920556	-					phnM		KPN_RS24200	1137		old_locus_tag=KPN_04493
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4919420	4920556	-	WP_004177788.1	WP_004177788.1		alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase	phnM		KPN_RS24200	1137	378	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4920553	4921233	-					phnL		KPN_RS24205	681		old_locus_tag=KPN_04494
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4920553	4921233	-	WP_015959272.1	WP_015959272.1		phosphonate C-P lyase system protein PhnL	phnL		KPN_RS24205	681	226	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4921341	4922099	-					phnK		KPN_RS24210	759		old_locus_tag=KPN_04495
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4921341	4922099	-	WP_004178305.1	WP_004178305.1		phosphonate C-P lyase system protein PhnK	phnK		KPN_RS24210	759	252	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4922096	4922944	-							KPN_RS24215	849		old_locus_tag=KPN_04496
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4922096	4922944	-	WP_002885202.1	WP_002885202.1		alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ			KPN_RS24215	849	282	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4922937	4924001	-							KPN_RS24220	1065		old_locus_tag=KPN_04497
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4922937	4924001	-	WP_015959273.1	WP_015959273.1		carbon-phosphorus lyase complex subunit PhnI			KPN_RS24220	1065	354	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4924002	4924586	-					phnH		KPN_RS24225	585		old_locus_tag=KPN_04498
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4924002	4924586	-	WP_002885207.1	WP_002885207.1		phosphonate C-P lyase system protein PhnH	phnH		KPN_RS24225	585	194	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4924583	4925035	-					phnG		KPN_RS24230	453		old_locus_tag=KPN_04499
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4924583	4925035	-	WP_004210036.1	WP_004210036.1		phosphonate C-P lyase system protein PhnG	phnG		KPN_RS24230	453	150	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4925036	4925761	-					phnF		KPN_RS24235	726		old_locus_tag=KPN_04500
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4925036	4925761	-	WP_004177785.1	WP_004177785.1		phosphonate metabolism transcriptional regulator PhnF	phnF		KPN_RS24235	726	241	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4925917	4926351	-					yjdN		KPN_RS24240	435		old_locus_tag=KPN_04501
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4925917	4926351	-	WP_002885221.1	WP_002885221.1		VOC family metalloprotein YjdN	yjdN		KPN_RS24240	435	144	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4926580	4926915	-							KPN_RS24245	336		old_locus_tag=KPN_04502
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4926580	4926915	-	WP_004210038.1	WP_004210038.1		zinc ribbon domain-containing protein YjdM			KPN_RS24245	336	111	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4927003	4927272	-							KPN_RS32650	270		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4927003	4927272	-	WP_004151725.1	WP_004151725.1		hypothetical protein			KPN_RS32650	270	89	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4927460	4928962	+					proP		KPN_RS24255	1503		old_locus_tag=KPN_04503
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4927460	4928962	+	WP_004177782.1	WP_004177782.1		glycine betaine/L-proline transporter ProP	proP		KPN_RS24255	1503	500	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4929012	4929950	-					melR		KPN_RS24260	939		old_locus_tag=KPN_04504
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4929012	4929950	-	WP_002885229.1	WP_002885229.1		transcriptional regulator MelR	melR		KPN_RS24260	939	312	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4930190	4931542	+							KPN_RS24265	1353		old_locus_tag=KPN_04505
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4930190	4931542	+	WP_004186565.1	WP_004186565.1		alpha-glucosidase/alpha-galactosidase			KPN_RS24265	1353	450	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4931636	4933051	+					melB		KPN_RS24270	1416		old_locus_tag=KPN_04506
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4931636	4933051	+	WP_004218080.1	WP_004218080.1		melibiose:sodium transporter MelB	melB		KPN_RS24270	1416	471	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4933057	4933179	+							KPN_RS31845	123		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4933057	4933179	+	WP_004146677.1	WP_004146677.1		hypothetical protein			KPN_RS31845	123	40	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4933327	4934283	+					parM		KPN_RS24280	957		old_locus_tag=KPN_04507
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4933327	4934283	+	WP_004177778.1	WP_004177778.1		plasmid segregation protein ParM domain-containing protein	parM		KPN_RS24280	957	318	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4934293	4934664	+							KPN_RS24285	372		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4934293	4934664	+	WP_004186571.1	WP_004186571.1		plasmid partitioning/stability family protein			KPN_RS24285	372	123	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4935784	4936089	-					cbpM		KPN_RS24290	306		old_locus_tag=KPN_04508
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4935784	4936089	-	WP_002885324.1	WP_002885324.1		chaperone modulator CbpM	cbpM		KPN_RS24290	306	101	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4936089	4937006	-					cbpA		KPN_RS24295	918		old_locus_tag=KPN_04509
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4936089	4937006	-	WP_004210044.1	WP_004210044.1		curved DNA-binding protein	cbpA		KPN_RS24295	918	305	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4937082	4937195	+							KPN_RS31850	114		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4937082	4937195	+	WP_020316611.1	WP_020316611.1		hypothetical protein			KPN_RS31850	114	37	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4937152	4937835	-							KPN_RS24305	684		old_locus_tag=KPN_04510
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4937152	4937835	-	WP_026005887.1	WP_026005887.1		TerC family protein			KPN_RS24305	684	227	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4938061	4938846	+							KPN_RS24315	786		old_locus_tag=KPN_04511
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4938061	4938846	+	WP_002885391.1	WP_002885391.1		DsbA family protein			KPN_RS24315	786	261	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4938892	4939341	-					pgaD		KPN_RS24320	450		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4938892	4939341	-	WP_004210047.1	WP_004210047.1		poly-beta-1,6-N-acetyl-D-glucosamine biosynthesis protein PgaD	pgaD		KPN_RS24320	450	149	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4939341	4940669	-					pgaC		KPN_RS24325	1329		old_locus_tag=KPN_04512
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4939341	4940669	-	WP_004210049.1	WP_004210049.1		poly-beta-1,6-N-acetyl-D-glucosamine synthase	pgaC		KPN_RS24325	1329	442	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4940662	4942677	-					pgaB		KPN_RS24330	2016		old_locus_tag=KPN_04513
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4940662	4942677	-	WP_041937738.1	WP_041937738.1		poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB	pgaB		KPN_RS24330	2016	671	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4942686	4945133	-					pgaA		KPN_RS24335	2448		old_locus_tag=KPN_04514
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4942686	4945133	-	WP_072198926.1	WP_072198926.1		poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA	pgaA		KPN_RS24335	2448	815	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4945767	4946333	+							KPN_RS24340	567		old_locus_tag=KPN_04516
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4945767	4946333	+	WP_002885396.1	WP_002885396.1		helix-turn-helix transcriptional regulator			KPN_RS24340	567	188	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4946328	4946450	-							KPN_RS31860	123		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4946328	4946450	-	WP_004146686.1	WP_004146686.1		hypothetical protein			KPN_RS31860	123	40	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4946645	4946935	+							KPN_RS24350	291		old_locus_tag=KPN_04517
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4946645	4946935	+	WP_004153693.1	WP_004153693.1		PerC family transcriptional regulator			KPN_RS24350	291	96	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4947271	4947678	-							KPN_RS24355	408		old_locus_tag=KPN_04518
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4947271	4947678	-	WP_009484467.1	WP_009484467.1		DUF943 family protein			KPN_RS24355	408	135	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4947671	4948906	-							KPN_RS24360	1236		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4947671	4948906	-	WP_009484466.1	WP_009484466.1		PAAR domain-containing protein			KPN_RS24360	1236	411	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4948906	4949382	-							KPN_RS24365	477		old_locus_tag=KPN_04519
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4948906	4949382	-	WP_009484465.1	WP_009484465.1		PAAR domain-containing protein			KPN_RS24365	477	158	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4950170	4951533	+							KPN_RS30715	1364		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4950170	4951533	+	WP_087661600.1	WP_087661600.1		IS3-like element ISKpn1 family transposase			KPN_RS30715	1365	454	ribosomal_slippage
gene	tRNA	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4951947	4952022	-							KPN_RS24390	76		old_locus_tag=KPN_04523
tRNA		GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4951947	4952022	-				tRNA-Phe			KPN_RS24390	76		anticodon=GAA
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4952138	4954225	-							KPN_RS24395	2088		old_locus_tag=KPN_04524
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4952138	4954225	-	WP_004177767.1	WP_004177767.1		DUF1176 domain-containing protein			KPN_RS24395	2088	695	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4954293	4954868	-							KPN_RS24400	576		old_locus_tag=KPN_04525
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4954293	4954868	-	WP_004218175.1	WP_004218175.1		transcriptional regulator			KPN_RS24400	576	191	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4954904	4956700	-							KPN_RS24405	1797		old_locus_tag=KPN_04526
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4954904	4956700	-	WP_015959279.1	WP_015959279.1		protein-disulfide reductase DsbD			KPN_RS24405	1797	598	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4956676	4956999	-					cutA		KPN_RS24410	324		old_locus_tag=KPN_04527
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4956676	4956999	-	WP_002885422.1	WP_002885422.1		divalent cation tolerance protein CutA	cutA		KPN_RS24410	324	107	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4957124	4958425	-							KPN_RS24415	1302		old_locus_tag=KPN_04528
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4957124	4958425	-	WP_002885423.1	WP_002885423.1		anaerobic C4-dicarboxylate transporter			KPN_RS24415	1302	433	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4958541	4959977	-					aspA		KPN_RS24420	1437		old_locus_tag=KPN_04529
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4958541	4959977	-	WP_004177762.1	WP_004177762.1		aspartate ammonia-lyase	aspA		KPN_RS24420	1437	478	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4960315	4960791	+							KPN_RS24430	477		old_locus_tag=KPN_04530
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4960315	4960791	+	WP_002885425.1	WP_002885425.1		FxsA family protein			KPN_RS24430	477	158	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4960842	4962092	-					yjeH		KPN_RS24435	1251		old_locus_tag=KPN_04531
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4960842	4962092	-	WP_015959280.1	WP_015959280.1		L-methionine/branched-chain amino acid transporter	yjeH		KPN_RS24435	1251	416	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4962325	4962618	+							KPN_RS24445	294		old_locus_tag=KPN_04532
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4962325	4962618	+	WP_015959281.1	WP_015959281.1		co-chaperone GroES			KPN_RS24445	294	97	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4962656	4964302	+					groL		KPN_RS24450	1647		old_locus_tag=KPN_04533
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4962656	4964302	+	WP_002885441.1	WP_002885441.1		chaperonin GroEL	groL		KPN_RS24450	1647	548	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4964563	4964916	+							KPN_RS24455	354		old_locus_tag=KPN_04534
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4964563	4964916	+	WP_004152419.1	WP_004152419.1		DUF4156 domain-containing protein			KPN_RS24455	354	117	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4964971	4965834	-							KPN_RS24460	864		old_locus_tag=KPN_04535
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4964971	4965834	-	WP_015959282.1	WP_015959282.1		YjeJ family protein			KPN_RS24460	864	287	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4965849	4967972	-							KPN_RS24465	2124		old_locus_tag=KPN_04536
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4965849	4967972	-	WP_004192519.1	WP_004192519.1		peptidase domain-containing ABC transporter			KPN_RS24465	2124	707	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4967965	4969251	-							KPN_RS24470	1287		old_locus_tag=KPN_04537
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4967965	4969251	-	WP_004177748.1	WP_004177748.1		HlyD family secretion protein			KPN_RS24470	1287	428	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4969355	4969705	-							KPN_RS24475	351		old_locus_tag=KPN_04538
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4969355	4969705	-	WP_004177746.1	WP_004177746.1		hypothetical protein			KPN_RS24475	351	116	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4970040	4971056	-							KPN_RS24480	1017		old_locus_tag=KPN_04539
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4970040	4971056	-	WP_004177744.1	WP_004177744.1		fimbrial protein			KPN_RS24480	1017	338	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4971080	4973623	-							KPN_RS24485	2544		old_locus_tag=KPN_04540
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	4971080	4973623	-	WP_041937698.1	WP_041937698.1		fimbria/pilus outer membrane usher protein			KPN_RS24485	2544	847	
